Metric,Adam,SGD,RMSprop
mean_absolute_error,51.39735480161012,51.983898792409434,50.06325474410581
mean_squared_error,52.20241518113858,52.46693502012651,51.54686601495112
huber,50.43128234617596,51.23634272570443,51.1328349626222
