id_player,country_code,id_national_team,name,position_national,position_field,name_shirt,jersey_namber,position_field_detailed,country_birth,birth_date,id_match,start,year,start_position_x,start_position_y,height,id_club,weight
250027190,GEO,57157.0,Budu Zivzivadze,FORWARD,FORWARD,1,1,1,1,1,3,1,1,0,0,0,1,0
250027818,HUN,57.0,Ádám Lang,DEFENDER,DEFENDER,1,1,1,0,1,10,2,3,4,4,1,1,1
250027830,NED,95.0,Quincy Promes,MIDFIELDER,FORWARD,1,1,1,1,1,3,1,1,1,1,0,1,0
250028211,GER,47.0,Antonio Rüdiger,DEFENDER,DEFENDER,1,1,1,1,1,7,1,2,4,2,1,1,1
250028268,MKD,59205.0,Ezgjan Alioski,DEFENDER,DEFENDER,1,1,1,0,1,3,1,1,2,3,1,1,1
250028715,ALB,2.0,Berat Djimsiti,DEFENDER,DEFENDER,1,1,1,1,1,3,1,1,1,1,1,1,1
250029287,CZE,58837.0,Michael Krmenčík,FORWARD,FORWARD,1,1,1,0,1,5,1,1,1,1,1,0,1
250029318,BEL,13.0,Thomas Meunier,DEFENDER,DEFENDER,1,2,1,1,1,10,2,2,4,4,1,1,1
250029535,GER,47.0,Pascal Gross,MIDFIELDER,MIDFIELDER,1,1,1,1,1,3,1,1,0,0,0,1,0
250029557,ALB,2.0,Ergys Kaçe,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,1,1,0,0,1,0,1
250029640,HUN,57.0,Dániel Böde,FORWARD,FORWARD,1,1,1,0,1,4,1,1,1,1,1,1,1
250029650,HUN,57.0,Attila Fiola,DEFENDER,DEFENDER,1,1,1,1,1,10,2,3,6,6,1,1,1
250030842,ROU,113.0,Ovidiu Hoban,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,2,1,3,2,1,1,1
250031583,MKD,59205.0,Daniel Avramovski,FORWARD,FORWARD,1,1,1,0,1,3,1,1,1,1,0,1,0
250031588,MKD,59205.0,Darko Velkovski,DEFENDER,DEFENDER,1,1,1,0,1,3,1,1,3,2,1,0,1
250031589,MKD,59205.0,Gjoko Zajkov,DEFENDER,DEFENDER,1,1,1,0,1,1,1,1,1,1,1,1,1
250033878,CRO,56370.0,Ante Rebić,FORWARD,FORWARD,1,1,1,0,1,4,2,1,4,4,1,1,1
250034742,SWE,127.0,Filip Helander,DEFENDER,DEFENDER,1,1,1,1,1,4,1,1,1,1,1,1,1
250035043,SWE,127.0,Emir Kujović,FORWARD,FORWARD,1,1,1,0,1,3,1,1,0,0,1,0,1
250035057,TUR,135.0,Olcay Şahan,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,1,1,0,0,1,0,1
250035096,POR,110.0,Éder,FORWARD,FORWARD,1,1,1,0,1,7,1,1,0,0,1,1,1
250035735,ROU,113.0,Nicolae Stanciu,MIDFIELDER,MIDFIELDER,1,2,1,0,1,6,2,2,4,5,1,1,1
250038932,BEL,13.0,Michy Batshuayi,FORWARD,FORWARD,1,2,1,1,1,10,1,2,1,1,1,1,1
250039143,ALB,2.0,Ledian Memushaj,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,2,1,1,1,1,1,1
250039177,RUS,57451.0,Denis Cheryshev,MIDFIELDER,MIDFIELDER,1,1,1,1,1,3,1,1,1,1,1,1,1
250039499,ALB,2.0,Iván Balliu,DEFENDER,DEFENDER,1,1,1,1,1,3,2,1,1,1,0,1,0
250039742,BEL,13.0,Jordan Lukaku,DEFENDER,DEFENDER,1,1,1,0,1,5,2,1,2,2,1,1,1
250039878,MKD,59205.0,Aleksandar Trajkovski,FORWARD,FORWARD,1,1,1,0,1,3,2,1,3,3,0,1,0
250039882,ROU,113.0,Mihai Pintilii,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,2,1,2,2,1,1,1
250040432,SUI,128.0,Francois Moubandje,DEFENDER,DEFENDER,1,1,1,0,1,4,1,1,1,1,1,1,1
250040465,HUN,57.0,Dénes Dibusz,GOALKEEPER,GOALKEEPER,1,1,1,0,1,10,1,3,1,1,1,1,1
250040521,ESP,122.0,Lucas Vázquez,MIDFIELDER,MIDFIELDER,1,1,1,1,1,4,1,1,1,1,1,1,1
250040527,CZE,58837.0,Vladimír Darida,MIDFIELDER,MIDFIELDER,1,2,1,0,1,11,2,3,5,4,1,1,1
250040558,SRB,147.0,Filip Mladenović,DEFENDER,DEFENDER,1,1,1,1,1,3,2,1,1,1,1,1,1
250040564,CRO,56370.0,Marcelo Brozović,MIDFIELDER,MIDFIELDER,1,2,1,1,1,11,2,3,5,5,1,1,1
250040573,POL,109.0,Łukasz Skorupski,GOALKEEPER,GOALKEEPER,1,1,1,0,1,6,2,2,2,2,1,1,0
250040953,SWE,127.0,Kristoffer Olsson,MIDFIELDER,MIDFIELDER,1,1,1,0,1,4,1,1,2,1,1,1,0
250040959,BEL,13.0,Yannick Carrasco,FORWARD,FORWARD,1,1,1,1,1,13,2,3,5,5,1,1,1
250041121,GEO,57157.0,Otar Kakabadze,DEFENDER,DEFENDER,1,1,1,1,1,3,1,1,2,2,1,1,1
250041551,SVK,58836.0,Matúš Bero,MIDFIELDER,MIDFIELDER,1,1,1,1,1,3,1,1,0,0,1,1,1
250041561,SVK,58836.0,Ľubomír Šatka,DEFENDER,DEFENDER,1,1,1,0,1,3,1,1,3,3,0,1,0
250041563,SVK,58836.0,Milan Škriniar,DEFENDER,DEFENDER,1,1,1,1,1,10,2,3,4,5,1,1,1
250041664,DEN,35.0,Andreas Cornelius,FORWARD,FORWARD,1,1,1,0,1,6,1,1,1,1,1,1,1
250041706,AUT,8.0,Florian Grillitsch,MIDFIELDER,MIDFIELDER,1,1,1,1,1,7,2,2,5,4,0,1,0
250041718,DEN,35.0,Andreas  Christensen,DEFENDER,DEFENDER,1,1,1,1,1,9,1,2,5,3,1,1,1
250041741,ITA,66.0,Bryan Cristante,MIDFIELDER,MIDFIELDER,1,1,1,1,1,10,1,2,1,1,1,1,1
250041760,SUI,128.0,Shani Tarashaj,FORWARD,FORWARD,1,1,1,0,1,4,1,1,1,1,1,0,1
250041770,GER,47.0,Serge Gnabry,FORWARD,FORWARD,1,1,1,0,1,4,2,1,2,3,1,1,1
250041771,GER,47.0,Leon Goretzka,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,2,1,2,2,1,1,1
250041781,GER,47.0,Niklas Süle,DEFENDER,DEFENDER,1,1,1,0,1,4,1,1,1,1,0,1,0
250041844,GER,47.0,Niclas Füllkrug,FORWARD,FORWARD,1,1,0,1,1,3,1,1,0,0,0,1,0
250042207,SRB,147.0,Predrag Rajković,GOALKEEPER,GOALKEEPER,1,1,1,0,1,3,1,1,1,1,1,1,1
250042213,SRB,147.0,Andrija Živković,FORWARD,FORWARD,1,1,1,0,1,3,1,1,3,2,1,1,0
250042329,ENG,39.0,Jack Grealish,MIDFIELDER,MIDFIELDER,1,1,0,0,1,7,2,1,2,2,0,1,0
250042406,CZE,58837.0,Tomáš Chorý,FORWARD,FORWARD,1,1,1,1,1,3,1,1,0,0,0,1,0
250042409,POL,109.0,Karol Linetty,MIDFIELDER,MIDFIELDER,1,1,1,0,1,8,2,2,2,2,1,1,1
250042413,POL,109.0,Mariusz Stępiński,FORWARD,FORWARD,1,1,1,0,1,5,1,1,0,0,1,1,1
250042422,ESP,122.0,Alejandro Grimaldo,DEFENDER,DEFENDER,1,1,1,1,1,3,2,1,1,1,1,1,1
250042504,ROU,113.0,George Puşcaş,FORWARD,FORWARD,1,1,1,0,1,3,1,1,0,0,1,1,1
250042521,POR,110.0,André Silva,FORWARD,FORWARD,1,1,1,0,1,4,1,1,1,1,1,1,1
250042567,TUR,135.0,Taylan Antalyalı,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,1,1,1,1,0,1,0
250042589,RUS,57451.0,Vyacheslav Karavaev,DEFENDER,DEFENDER,1,1,1,0,1,3,1,1,1,1,1,1,1
